year,month,ダイハツ,日野,ホンダ,いすゞ,マツダ,三菱,三菱ふそう,日産,ＳＵＢＡＲＵ,スズキ,トヨタ,UDトラックス,輸入車,合計
2020,1,5137,4051,19456,4582,12756,3049,2610,23837,8456,9160,107933,428,20009,221464
2020,2,6210,4985,26806,5843,14904,3054,3157,31896,9407,10204,125913,547,25376,268302
2020,3,10296,8597,37906,9798,24415,4366,5631,34027,13129,13885,173716,1201,37988,374955
2020,4,3354,3778,21534,4023,6345,843,2480,12300,3587,5743,93259,602,14290,172138
2020,5,2537,3737,16092,3803,5935,763,2095,12001,1704,3408,80503,591,14809,147978
2020,6,3360,5000,24181,5405,8461,1287,2931,18920,6485,8060,104478,935,25354,214857
2020,7,4133,4726,25473,5351,10035,1555,2806,22333,7454,9862,124167,619,20841,239355
2020,8,3742,4658,18734,5150,10785,1340,2811,15582,4755,8007,100042,578,21648,197832
2020,9,6081,6407,26070,8148,16462,2319,3512,21971,6417,10810,145129,961,39233,293520
2020,10,5099,4418,25327,3968,10686,1540,3139,15809,5869,7607,139088,751,30003,253304
2020,11,3086,4908,22237,5137,9867,1430,3064,16450,8413,8316,137315,919,31927,253069
2020,12,2949,4786,19958,5540,10370,3783,3867,17016,9097,8941,119410,1581,36455,243753
