番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年01月31日,東京,ＨＰ,フォルクスワーゲン,アルテオン,2017年10月,"7,050 Km",ABA-3HDJHF,DJH,保安灯火,２０２０年１月２０日,高速道路に入り本線合流のため加速したところ、車体天井のパノラマスライディングルーフのガラスが粉々に割れ車内に飛び散り怪我をした。
2,2020年01月31日,東京,ＨＰ,シトロエン,グランドＣ４ピカソ,不明,不明,ABA-B7875G01,不明,エンジン,２０１９年１月,燃料を満タンに入れると、アイドリングが不安定になりエンジンが止まる。警告音と共にエンジンフォルトの表示が出る。
3,2020年01月31日,山梨,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,2014年06月,"42,000 Km",DBA-B21W,3B20,保安灯火,不明,左の電動開閉ドアミラーが開閉しなくなり、モーターが空回りするようになった。
4,2020年01月31日,三重,ＨＰ,ニッサン,デイズルークス,2015年10月,"18,200 Km",DBA-B21A,3B20,保安灯火,２０１９年１２月頃,左ドアミラーだけが格納したまま開かない。
5,2020年01月31日,不明,電話,フォルクスワーゲン,ポロ,2011年11月,"47,500 Km",DBA-6RCBZ,CBZ,動力伝達,不明,走行中にギアが切り替わらなくなり、走れなくなった。
6,2020年01月30日,北海道,ＨＰ,マツダ,ＣＸ－８,2018年02月,"38,000 Km",3DA-KG2P,SH,保安灯火,２０２０年１月３０日,走行中にフロントガラスにヒビが入った。
7,2020年01月30日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,フォルクスワーゲン,ポロ,2011年03月,"63,900 Km",ABA-6RCAV,CAV,動力伝達,不明,ＤＳＧのメカトロニクスのリコールにおいて、部品のロットナンバーが交換対象外と判定された車で、一般道を走行中にハウジングが破損してオイル漏れを起こし、走行不能になった。
8,2020年01月30日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ＭＲ－Ｓ,2003年04月,"94,000 Km",TA-ZZW30,1ZZ,動力伝達,不明,ＳＭＴ（シーケンシャルトランスミッション）搭載車で、警告灯が点灯するとともに変速しなくなり、エンストした。
9,2020年01月30日,岡山,電話,トヨタ,アイシス,2008年05月,"127,300 Km",DBA-ANM10W,1AZ,燃料装置,不明,国２６７４－２のリコールで対象範囲外の車両で、高圧燃料ポンプのチェックバルブから燃料が漏れた。
10,2020年01月29日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＣＸ－５,2015年03月,"15,100 Km",LDA-KE2AW,SH,保安灯火,不明,ドアミラーの開閉ギアの強度不足により、折りたためなくなった。
11,2020年01月29日,埼玉,ＨＰ,マツダ,ビアンテ,2009年09月,"68,800 Km",DBA-CCEFW,LF,制動装置,２０２０年１月,エンジン始動後、ｉ－ｓｔｏｐ点滅、横滑り警告、ＡＢＳ警告が一気に３つ点いた。（オレンジ色の警告）
12,2020年01月29日,栃木,ＨＰ,スズキ,ワゴンＲ,2009年09月,"70,000 Km",DBA-MH23S,K6A,エンジン,２０１９年１月２８日１６時頃,走行中に突然エアコンのコンプレッサーがロックし、エンストした。
13,2020年01月29日,福井,ＨＰ,ダイハツ,タント,2013年12月,"58,200 Km",DBA-LA600S,KF,乗車装置,初めから,駐車場に止めていて、朝ドアを開けようとしたら警告音がなる。よく見たら、半ドア警告灯が点灯している。
14,2020年01月29日,奈良,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,Ｅ２００,2016年07月,"20,000 Km",RBA-213042C,274,燃料装置,２０１９年夏,燃料高圧ポンプに接続されているホースから燃料がにじみ、燃料臭がするようになった。
15,2020年01月29日,愛媛,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,2019年05月,不明,5AA-B44W,BR06-SM21,その他,不明,エアコンを２５度設定にして、信号待ちしていたところ、突然熱風が出てくるようになったことがある。また、エアコンをオフにしていたのにも関わらず、突然風が出てくるようになったことがある。
16,2020年01月29日,愛媛,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,2019年05月,不明,5AA-B44W,BR06-SM21,保安灯火,２０１９年１２月,ハイビームアシスト搭載車で、先行車がいるのにも関わらず、ハイビームになったことがある。
17,2020年01月29日,愛媛,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,2019年05月,不明,5AA-B44W,BR06-SM21,乗車装置,不明,シートベルトを装着しているのに、シートベルトリマインダが鳴り続けたことがある。
18,2020年01月29日,大分,ＨＰ,スズキ,ソリオ　ハイブリッド,2018年06月,"16,000 Km",DAA-MA46S,K12C-PB05A,電動機(モーター),２０２０年１月,交差点右折時にハイブリッドシステムが停止し、横行車が衝突しそうになり、恐怖感を感じた。
19,2020年01月28日,北海道,ＨＰ,トヨタ,ヴォクシー,2014年08月,不明,DBA-ZRR85W,3ZR,エンジン,２０２０年１月２８日,バルブリフトコントローラーの故障により警告灯が多数つき、エンジンの回転数が上がらなくなった。
20,2020年01月28日,福島,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,アルファード,2009年12月,"67,000 Km",DBA-ANH20W,2AZ,エンジン,不明,エンジンオイルが激しく減る。
21,2020年01月28日,東京,ＨＰ,ホンダ,バモス,2008年04月,"83,887 Km",ABA-HM1,E07Z,その他,２０１９年１０月位から,２～３ｋｍ走行すると、水温計が点滅する。
22,2020年01月28日,千葉,ＨＰ,ジープ,コンパス,不明,不明,ABA-M624,不明,緩衝装置,２０１８年１２月,足回りの異音　　ナビ機能異常　エアコン異常
23,2020年01月28日,千葉,ＨＰ,ジープ,レネゲード,2019年12月,600 Km,3BA-BU13,55282328,かじ取り,２０２０年１月１３日,エンジンを始動から走行（停止）までの間、異常表示が点灯し、走行時にパワーステアリングが停止してハンドルが重くなった。
24,2020年01月28日,千葉,ＨＰ,ジープ,レネゲート,2019年12月,600 Km,3BA-BU13,55282328,エンジン,２０２０年１月１３日,「Ｐ」から「Ｄ」又「Ｒ」にした際にエンジンが停止した。
25,2020年01月28日,三重,ＨＰ,スズキ,スペーシア　カスタムＺ,2017年02月,不明,DAA-MK42S,R06A-WA04A,排ｶﾞｽ･騒音,２０１９年６月頃　新車登録から２年目,リアマフラーのパイプがちぎれ、パイプだけがブッシュにつりさがっている状態になった。
26,2020年01月28日,島根,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,モコ,2013年01月,"63,000 Km",DBA-MG33S,R06A,乗車装置,２０１６年（左）、２０１９年（右）,左右後席のドアロックモーターが故障し、ロックが作動しなくなった。右後席のドアロックを修理した際、整備工場から、ロックモーターに水が溜まっていたと説明された。
