番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2022年04月30日,大阪,ＨＰ,トヨタ,ポルテ,2013年10月,"43,765 Km",DBA-NCP141,1NZ,車枠・車体,２０２２年４月２９日,荷室に雨漏りがあり、リアゲートの上部、ハイマウントストップランプ付近に無数の水滴を発見した。
2,2022年04月30日,大阪,ＨＰ,ボルボ,ＸＣ４０,2022年04月,11 Km,DBA-XB420XC,不明,エンジン,新車納車後５日目,新車納車後５日目にエンジンがかからなくなった。
3,2022年04月30日,鹿児島,ＨＰ,ニッサン,エクストレイル,2016年07月,"30,941 Km",DBA-NT32,MR20,動力伝達,２０２２年４月２３日,４０ｋｍ／ｈで走行中に定期的に車体がガタガタと振動する。又スピードが出なくなった。ディーラーで確認したところ、ＣＶＴの不良と診断された。
4,2022年04月29日,東京,ＨＰ,プジョー,ｅ－２００８,2021年02月,"13,964 Km",ZAA-P24ZK01,ZK01,電気装置,２０２２年３月２３日,電動走行システム故障と出て動かなくなった。ディーラーで確認し、コンプレッサーの不具合でコンプレッサーの交換が必要と診断された。
5,2022年04月28日,岩手,ﾌﾘｰﾀﾞｲｱﾙ,日野,プロフィア,2015年07月,"771,000 Km",QPG-SH1EEDG,E13C,動力伝達,２０２２年３月４日,凍結路の峠を降り、直線路を走行中にアクセルペダルから足を放したところ、不要なギアダウンが発生して首振りし、ジャックナイフ現象になって事故となってしまった。
6,2022年04月28日,青森,電話,フォルクスワーゲン,ＶＷ　ｕｐ！　１．０／５５ｋＷ,2013年03月,"30,000 Km",DBA-AACHY,CHY,動力伝達,寒い時期,冬になるとバックができない。
7,2022年04月28日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,Ｘ１,2018年05月,"29,700 Km",ABA-JG15,B38A15A,車枠・車体,２０２２年４月２４日,タワーパーキングに駐車し、車を格納したところ、パーキングの設備内で勝手にリヤゲートが開いたため設備にリヤゲートが接触して破損した。
8,2022年04月28日,神奈川,ＨＰ,スバル,ＸＶ,2019年12月,"23,000 Km",5AA-GTE,FB20-MA1,エンジン,２０２２年４月２７日,下り坂を走行中、前方信号が赤で惰性でＥＶ走行していたところ、”Ｅｙｅｓｉｇｈｔ　ＯＦＦ”他、ＯＦＦ　Ｍｅｓｓａｇｅが複数表示され、暫くして、シフトレバーを“Ｐに入れてください”が表示された。その信号が青になり、アクセルペダルを踏んだが加速せず、ブレーキも効かなかった。車は動いていたが、シフトレバーをＰに入れ、ガリガリガリと言いながら路肩に停止させた。何が起こったのかわからず、エンジン停止しようとＳＴＡＲＴボタンをＰｕｓｈしたところ、エンジンが始動したので、エンジンが停止していたことを理解した。
9,2022年04月28日,千葉,ＨＰ,ボルボ,ボルボ　Ｖ４０,2016年03月,"75,000 Km",LDA-MD4204T,D4204T,保安灯火,不明,ポジショニングランプ（スモールランプ）の電球交換をしようとした際に、バルブホルダーが固着して中々回らないので左右に力を入れながら固着を外そうとしたところ、ヘッドライトユニット側のプラスチックの爪４カ所が破損した。
10,2022年04月28日,静岡,ＨＰ,マツダ,デミオ,2014年11月,"31,900 Km",LDA-DJ5FS,S5,燃料装置,２０２１年８月１日,エンジンルームから不規則な異音が発生した。ディーラーで確認したところ、フューエルフィルターからの異音と診断された。
