番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
1,"2024年12月31日","千葉県","ＨＰ","ＢＭＷ","2014/03","DBA-1A16","ＢＭＷ　１１６ｉ","67,000 Km","N13B16A","燃料装置","２０２４年１２月","一般道を走行中に警告灯が点灯し、ドライブトレーンの表示ととともにエンジンが停止し、惰性で路肩に流れ着いた。"
2,"2024年12月30日","神奈川県","ＨＰ","アウディ","2016/06","ABA-4HCTFF","アウディ　Ｓ８","71,000 Km","CTF","制動装置","２０２３年１月","アウディブレーキガード（衝突回避ブレーキ）の異常が頻発し、異常警告が表示される。"
3,"2024年12月30日","福井県","ＨＰ","トヨタ","2024/01","6AA-ZVG16","カローラクロス","12,000 Km","2ZR-1VM-1WM","電気装置","２０２４年１２月２１日","休憩しようと思い、ハイブリッドシステムを起動させずに１５分ほどシートヒーターを使用したところ、バッテリーが上がり始動不可になった。数カ月ほど前から、特に何も電装品を使わなくてもインフォメーションディスプレイにバッテリー保護の警告が表示されることがあった。"
4,"2024年12月30日","神奈川県","ＨＰ","マツダ","2019/01","DBF-SLP2M","ボンゴバン","144,709 Km","L8","保安灯火","新車の時より","左右のヘッドライトの取り付けに問題が有り、光軸調整やライト交換をすると部品の外れや脱落が起こる。"
5,"2024年12月30日","東京都","ＨＰ","マツダ","2023/04","5BA-KH5P","ＣＸ－６０","15,000 Km","PY","かじ取り","２０２４年１２月３０日","国５４３０（電動パワーステアリングギヤボックス）のリコール作業を済ませた車で、ハンドルがカクつき正常に運転できない。"
6,"2024年12月29日","和歌山県","ＨＰ","マツダ","2019/05","3DA-BP8P","ＭＡＺＤＡ３","35,900 Km","S8","乗車装置","２０２４年４月１日","リアシートベルトが巻き取れずに伸びたままになっている。"
7,"2024年12月29日","愛知県","ＨＰ","アウディ","2012/03","ABA-8RCDNF","アウディ　Ｑ５　２．０Ｔｑ","87,300 Km","CDN","エンジン","２０２１年９月","エンジンオイル消費量が多く、エンジンオイル低下警告灯が５００ｋｍ毎に点灯する。"
8,"2024年12月29日","埼玉県","ＨＰ","ルノー","2018/11","ABA-DFM5P","アルピーヌ　Ａ１１０","17,300 Km","M5P","その他","２０２３年１０月","エアコンが効かない。ガスの匂いが車内に充満する。"
9,"2024年12月28日","宮崎県","ＨＰ","ダイハツ","2022/11","5BA-LA650S","タント","34,431 Km","KF","エンジン","２０２４年１２月","セルモーターが空回りしてるような音がし、エンジンがかからなくなることがある。"
10,"2024年12月27日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","スバル","2018/12","DBA-VMG","レヴォーグ","70,000 Km","FA20","制動装置","２０２４年１１月あたりから","ブレーキブースターの負圧抜けにより、エンジン始動時にブレーキペダルの踏み応えが重くなり、始動困難になる。"
11,"2024年12月27日","熊本県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2016/09","DBA-117342","ＣＬＡ１８０","91,800 Km","270","その他","","外２４９７のリコール対象範囲外の車で、同じメーターパネルディスプレイ表示不良が発生した。"
12,"2024年12月27日","福岡県","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2019/02","3DA-KF2P","ＣＸ－５","44,200 Km","SH","保安灯火","４年前から","左右のドアミラーが開かなくなることがある。４年前に左、１～２年前に右が動かなくなり、それぞれ修理を行っているが、左が再発した。"
13,"2024年12月27日","熊本県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2014/09","DAA-HFC26","セレナ　ハイウェイスター","102,000 Km","MR20-SM23","動力伝達","２０２４年１２月","高速道路を走行中に速度が出ずその後「キー」という金属音が鳴った。ディーラーで確認した結果、ＣＶＴの交換が必要と見積もられた。"
14,"2024年12月27日","神奈川県","ＨＰ","ニッサン","","ZAA-FE0","アリア","","AM67","保安灯火","２０２４年１２月２３日","ドアミラーが開閉を繰り返すと上を向く。山道を走行中に何度もドアミラー開閉を行った末、前方から車が来たので慌ててバックしようとしたら、左ドアミラーが完全に上を向いていたため、左後方下側が視認できず衝突した。"
15,"2024年12月27日","北海道","ＨＰ","ニッサン","2018/02","DAA-GNC27","セレナ","48,400 Km","MR20-SM24","緩衝装置","２０２４年１２月２６日","駐車しようと目いっぱいハンドルを切った際に「バキ」という音がし、操作不能になった。確認したところ、ロアボールジョイントが抜けていた。"
16,"2024年12月27日","千葉県","ＨＰ","プジョー","2024/10","3DA-P24YH01","２００８","2,700 Km","YH01","制動装置","新車時より","ヒルスタートアシスト作動後、２秒程度再発進ができない。"
17,"2024年12月27日","千葉県","ＨＰ","プジョー","2024/10","3DA-P24YH01","２００８","2,700 Km","YH01","その他","新車時より","アダプティブクルーズコントロールが意図せず解除されることがある。"
18,"2024年12月27日","埼玉県","ＨＰ","三菱","2023/11","5LA-GN0W","アウトランダーＰＨＥＶ","22,000 Km","4B12-S91-YA1","その他","","「ＴＣＵを使用した地図データの自動更新時は更新中もナビゲーションシステムは使用できる」と記載されているが、実際は使用不可能になる。「検索履歴」「登録地点」が消失した。通話がハンズフリーにならない時がある。"
19,"2024年12月27日","東京都","ＨＰ","ニッサン","2024/01","5BA-B43W","ＤＡＹＺ","8,451 Km","BR06","制動装置","２０２４年１０月と１１月","一般道の見通しの良い直線道路を走行中、四方に他車両がいない状況、かつ遮る障害物もない状況にも関わらず、緊急ブレーキが作動し、緊急ブレーキ作動を知らせるランプの点灯、及び警告音も鳴った。"
20,"2024年12月27日","兵庫県","ＨＰ","ホンダ","2019/07","DBA-JF3","Ｎ－ＢＯＸ","39,900 Km","S07B","乗車装置","２０２４年１２月２１日","エアバッグシステム警告灯が点灯し、エアバッグシステムが停止した。修理工場で診断機につないで確認したところ「Ｂ２８００－４９　ＳＲＳユニット内部故障」という故障コードを拾っていた。"
21,"2024年12月27日","兵庫県","ＨＰ","ホンダ","2015/05","DAA-GP5","フィットハイブリッド","100,764 Km","LEB-H1","保安灯火","２０２４年１０月","運転席と助手席のドアのガラスが白濁し、視界不良になった。"
22,"2024年12月27日","鳥取県","電話","スズキ","2017/02","DAA-MK42S","スペーシア","","R06A-WA04A","動力伝達","","ノッキングのような現象が発生している。発進時には、大きく前後に動揺し、走行中は「ウーン、ウーン」と断続的なエンジン音がでる。症状は一般道、高速道に関わらず発生する。"
23,"2024年12月26日","千葉県","電話","スバル","2007/11","CBA-GRB","インプレッサ","110,000 Km","EJ20","かじ取り","２０２４年１１月２４日","山道を走行中、ハンドルが軽くなったり、重くなったりした後、パワーステアリングが機能していなかったため、車両を停止させてボンネットを開けて確認したところ、エンジン下部のアンダーカバーで炎が上がっていた。自分で消火した"
24,"2024年12月26日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2023/01","ZAA-ZE1","リーフ","","EM57","車枠・車体","","走行中に充電口が勝手に開くことがある。販売店で相談を繰り返しているが解消しない。"
25,"2024年12月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2023/11","5LA-254656","ＧＬＣ３５０ｅ　４ＭＡＴＩＣ","","254M20-EM0017","車枠・車体","２０２４年６月から","自宅駐車場でトランクを開けて荷物整理をしていたところ、勝手にトランクが閉まり挟まれた。ディーラーでシステムのバージョンアップが行われたが、１０月に再び勝手にトランクが閉まり挟まれた。"
26,"2024年12月26日","長崎県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2018/08","DBA-RW1","ＣＲ－Ｖ","74,800 Km","L15B","車枠・車体","","電動パノラミックサンルーフ搭載車で、走行中にシェードを引っ張っている部分の部品が破損したため、バンッという大きな音と共にシェードが巻き取られ、壊れた部品が落ちてきた。"
27,"2024年12月26日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","","8BK-KF54","ＡＤＶ１６０","","KF54E","エンジン","","走行中にエンジンからガタガタと異音がし、その後、右折車線に入ろうとしたところでエンジンが停止し、再始動不能になった。調べたところ、オイルポンプのドリブンギアが破損し、オイルが回らなくなったことでエンジンが焼き付いたものと判った。"
28,"2024年12月26日","奈良県","ＨＰ","マツダ","","3CA-KH3R3P","ＣＸ－６０","","T3-MR","保安灯火","","発進時、バック時、３６０度モニターが真っ暗で見えない。"
29,"2024年12月26日","福島県","ＨＰ","ニッサン","2015/12","DBA-B21A","デイズ　ルークス","61,800 Km","3B20","エンジン","購入当初から","エンジンをちょっとかけてすぐ切ると次回乗車する際、点火プラグが燃料かぶりのような状態になりエンジンが掛からない。"
30,"2024年12月25日","神奈川県","電話","ボルボ","2019/01","LDA-MD4204T","Ｖ４０","79,800 Km","D4204T","制動装置","","朝、車両を始動して出発したところ、ブレーキペダルを踏みこんでも全く効かなかった。"
31,"2024年12月25日","北海道","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2014/01","ZAA-AZE0","リーフ","90,500 Km","EM57","緩衝装置","２０２４年１２月","走行中にガタガタと異音がし、スリップしたような挙動になった。整備工場へ入庫して確認した結果、右前輪のショックアブソーバーが外れていた。"
