番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年09月30日,青森,ＨＰ,スズキ,スペーシア,2019年11月,不明,DAA-MK53S,R06A-WA05A,車枠・車体,２０２１年８月２５日,清掃中に水滴を拭き取る際に助手席側のスライトドアを固定しているプレート部分の塗装（１５ｃｍ×１０ｃｍ）が剥がれ落ちた。
2,2021年09月30日,東京,ＨＰ,ニッサン,セレナ,2014年10月,"53,000 Km",DAA-HFC26,MR20-SM23,動力伝達,２０２１年９月２０日,ＣＶＴの故障により、加速時にノッキングするようになり、極低速でしか走行できなくなった。
3,2021年09月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2014年03月,"80,800 Km",DBA-MK32S,R06A,その他,２０２１年９月７日,エアコンをオンにした状態で停車していたところ、突然エアコンが破裂した。
4,2021年09月30日,千葉,ＨＰ,三菱,ふそうスーパーグレート,2011年09月,"592,700 Km",LKG-FY50VY,6R10,燃料装置,２０２１年９月９日,インジェクターの不良により、走行中突然加速しなくなりエンジンが停止し、走行不能になった。
5,2021年09月30日,千葉,ＨＰ,ニッサン,セレナ,2013年03月,"78,000 Km",DAA-HC26,MR20-SM23,動力伝達,２０２１年９月２１日,高速道路走行中、急にガタガタと振動が始まり、アクセルペダルを踏んでも、スピードが３０ｋｍ／ｈ位しか出なくなり、その後、走行不能となった。
6,2021年09月30日,千葉,ＨＰ,アルファロメオ,ミト,2011年09月,"60,000 Km",ABA-955142,955A7,保安灯火,２０１６年と２０２１年９月,自宅で駐車中にルームミラーユニットが脱落した。
7,2021年09月30日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ヤリスクロス,2021年08月,600 Km,6AA-MXPJ10,M15A-1NM,その他,２０２１年９月４日,アドバンストパーク（駐車システム）操作中、音声ガイダンスに従ってＤレンジに入れブレーキを放したところ、車は前進し続け前方のブロック塀に衝突した。衝突と同時に自力操作でブレーキペダルを踏んだ。衝突後に音声ガイダンスでアドバンストパークの終了が通知された。この時、自動ブレーキは作動せず、バンパーに凹み、ブロック塀に傷ができてしまった。
8,2021年09月30日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,クラウン,2020年01月,不明,6AA-AZSH20,A25A-1KM,制動装置,２０２１年９月２８日,後輪ディスクブレーキが錆びにより固着し、通常の発進動作では車が動かなかった。ブレーキが固着している事が判らないまま、アクセルペダルを踏み込んだところ、カンッという音がした直後に車が飛び出した。
9,2021年09月30日,山梨,ﾌﾘｰﾀﾞｲｱﾙ,日野,プロフィア,2012年07月,"500,000 Km",不明,不明,制動装置,不明,前後軸に装着されているブレーキプロポーショニングバルブからエア漏れする。
10,2021年09月30日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ノート　ｅ－ＰＯＷＥＲ,2020年09月,不明,DAA-HE12,HR12-EM57,制動装置,不明,前方に何も障害が無い場面で衝突被害軽減ブレーキが作動し、急ブレーキがかかる。
11,2021年09月30日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,スバル,レヴォーグ,不明,不明,4BA-VN5,CB18,その他,不明,ハンドル内部のタッチセンサー不良により、アイサイト故障の警告が出るとともに運転支援関係全体が使えない状態になった。
12,2021年09月30日,広島,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,プリウス,2017年03月,"85,000 Km",DAA-ZVW50,2ZR-1NM,保安灯火,３年経たないくらい頃から,テールレンズが白く曇るようになった。
13,2021年09月30日,山口,ＨＰ,スズキ,キャリイ,2020年11月,"3,700 Km",EBD-DA16T,R06A,車枠・車体,２０２１年９月末,シフトポジションの表示板の裏面に亀裂が入った。
14,2021年09月30日,福岡,ＨＰ,スバル,ステラ,2011年07月,"40,343 Km",DBA-LA100F,KF,エンジン,２０２１年９月,ウォーターポンプのベアリングが壊れたため、ゴーゴーガタガタと異音が出ている。
15,2021年09月29日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,スバル,レガシィ,不明,"40,000 Km",DBA-BS9,不明,エンジン,不明,１２００回転でノッキングする。
16,2021年09月29日,岩手,ＨＰ,スバル,レヴォーグ,2014年10月,"120,000 Km",DBA-VM4,FB16,保安灯火,新車購入時から４年目と６年目,４年目に左ドアミラーで格納不良及び走行中風圧で閉じる症状が発生し、６年目に右ドアミラーが同じ症状になった。
17,2021年09月29日,千葉,ＨＰ,ＢＭＷ,３２０ｉ,2012年09月,"14,000 Km",DBA-3B20,N20B20B,動力伝達,２０２１年９月,信号で停車（アイドリングストップ状態）時に、シフトに触っていないのに勝手にドライブからパーキングになってしまう現象が数日に渡り数回発生した。
18,2021年09月29日,三重,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,Ｃ２００,2015年03月,"40,000 Km",RBA-205042,274,燃料装置,不明,燃料ホースからの燃料漏れにより、エアコンを外気導入にしていると車室内でガソリン臭がするようになった。
19,2021年09月29日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,日野,日野レンジャー,2017年08月,"160,000 Km",TKG-FD7JPAA,J07E,エンジン,２０２１年８月３１日,突然エンストした。
20,2021年09月29日,京都,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,Ｃ－ＨＲ,2017年11月,"48,000 Km",DAA-ZYX10,2ZR-1NM,制動装置,２０２１年９月１４日,駐車場から外に出して切り返すためブレーキを踏もうとしたところ効かなかった。力一杯ブレーキペダルを踏んで、すんでのところで止まった。止まった後で、画面に「ブレーキ力低下。ＡＢＳの不具合」と警告灯点灯していた。
21,2021年09月29日,高知,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2018年07月,"30,000 Km",DBA-JF3,S07B,エンジン,不明,スタータースイッチの不具合で、エンジンが切れなくなった。
22,2021年09月29日,高知,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2018年07月,"30,000 Km",DBA-JF3,S07B,制動装置,不明,夜間に３車線路を走行中、何もないところで突然自動ブレーキがかかった。
23,2021年09月28日,新潟,ＨＰ,スバル,レガシィ　ツーリングワゴン,2007年09月,"117,000 Km",CBA-BP5,EJ20,動力伝達,通年,２速から３速の変速ショックが頻発。警告灯は表示されなかったが、変速時にエンジンの回転が跳ね上がりガツンとなる症状だった。暖機後は特に酷い。
