番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
1,"2022年12月31日","福岡県","ＨＰ","スバル","2017/11","DBA-GT7","インプレッサ　スポーツ","50,000 Km","FB20","エンジン","２０２２年１２月３０日","国道を走行中、アクセルペダルを踏んでもスピードが出ず、すべての警告ランプ点灯し、そのまま動かなくなったため、レッカー移動した。"
2,"2022年12月31日","大阪府","ＨＰ","スズキ","2017/11","ABA-JB23W","ジムニー","8,500 Km","K6A","保安灯火","２０２２年１２月３０日","ミラーを開けようとした際、モーター音は鳴るがミラーが開閉できない。"
3,"2022年12月31日","埼玉県","ＨＰ","フォルクスワーゲン","2014/08","DBA-AUCHP","ＶＷゴルフヴァリアント","25,600 Km","CHP","保安灯火","２０２２年１２月３１日","駐車場で乗車しようと運転席に乗り込み、ドアを閉めたところ運転席側のドアミラーの鏡のみが張り付けてある部品から剥がれ落ちた。"
4,"2022年12月30日","埼玉県","ＨＰ","ニッサン","2016/09","DAA-GFC27","セレナ","56,352 Km","MR20-SM24","制動装置","２０１６年１２月","プロパイロット（アクティブクルーズコントロール）使用時、前車に追突しそうになり警告と共に急ブレーキが掛かる。ディーラーでＡＢＳアクチュエーターの不具合との説明を受けた。"
5,"2022年12月30日","千葉県","ＨＰ","ニッサン","2016/11","DAA-GFNC27","セレナ","45,188 Km","MR20-SM24","制動装置","２０２２年１１月","電動パーキングブレーキ解除後、パーキングブレーキランプ点滅及びブレーキ警告灯点灯。走行はできるが電動パーキングブレーキが作動しない状態になった。"
6,"2022年12月30日","千葉県","ＨＰ","ホンダ","2019/03","DBA-JW5","Ｓ６６０","4,675 Km","S07A","エンジン","２０２２年８月１７日","久しぶりにエンジン始動し、駐車場から出ようとしたが、勝手にエンストした。"
7,"2022年12月30日","山口県","ＨＰ","ニッサン","2013/12","DAA-HC26","セレナ","75,600 Km","MR20-SM23","電気装置","２０２２年１１月","エンジン始動直後かなり大きな異音がする。走行中もウォーンと車内まで響く程の不快な異音を確認した。整備工場でオルタネーターの交換を勧められた。"
8,"2022年12月30日","大阪府","ＨＰ","スバル","2017/05","DBA-SJ5","フォレスター","37,800 Km","FB20","制動装置","２０２２年１２月","エンジン始動前のブレーキペダルが固く踏み込めない。なんとか力ずくで押し込みエンジンをかける状況になっている。"
9,"2022年12月30日","茨城県","ＨＰ","シトロエン","2017/03","ABA-B7HN02","Ｃ４","59,320 Km","HN02","エンジン","２０２２年１２月","走行中にメーターパネルにＳＥＲＶＩＣＥ警告表示が点灯し油圧低下のメッセージが表示される。その後エンジンを再始動すると表示は消えるが暫く走行していると今後はメーターパネルにＳＴＯＰ警告表示が点灯、速度を保てなくなるため止む無く停車することになる。"
10,"2022年12月30日","東京都","ＨＰ","フォルクスワーゲン","2015/05","DBA-AUCPT","ゴルフ","40,000 Km","CPT","制動装置","","タイヤ交換時に足回り部品を観察したところ、リヤキャリパーにつながるブレーキパイプのバンジョー部に腐食・錆が発生しているのを発見した。"
11,"2022年12月29日","千葉県","ＨＰ","ニッサン","2018/07","DAA-GFC27","セレナ","55,351 Km","MR20-SM24","制動装置","２０２２年１０月","プロパイロット走行時にメーターパネルに前車を認識し、前車が減速、停車するも自車は減速する素振りもなく追突する状況になった。その際、メーターパネルに緊急接近警告灯及び警告音は出ていた。ディーラーでＡＢＳアクチェーターの誤作動と診断された。"
12,"2022年12月29日","鹿児島県","ＨＰ","メルセデス・ベンツ","2014/11","RBA-205042","Ｃ２００　アバンギャルド","16,890 Km","274","排ｶﾞｽ･騒音","２０２２年１２月１１日頃、警告表示","運転中、エンジン回転計の中央付近に、パイプ導管の接続部のような警告灯が表示された。ディーラーで排気ガス管の温度センサーの不具合と診断された。"
13,"2022年12月29日","岡山県","ＨＰ","メルセデス・ベンツ","2013/11","RBA-212280C","Ｅ３００　４ＭＡＴＩＣ　ワゴン","55,300 Km","M276","排ｶﾞｽ･騒音","２０２２年６月","走行中にエンジンチェックランプが点灯し、テスターで確認したところ、ＮＯｘセンサー異常となった。"
14,"2022年12月28日","新潟県","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2015/11","DAA-BYEFP","アクセラ","200,493 Km","PE-MG","緩衝装置","１２月上旬","一般道走行中、右後輪あたりからゴトゴト、ガラガラと異音が発生した。整備工場で確認したところ、右後輪ショックアブソーバーが車台側固定ボルトの脇のところから折れていた。"
15,"2022年12月28日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","スバル","2008/07","CBA-YA5","エクシーガ","57,400 Km","EJ20","動力伝達","２０２２年１２月２２日","信号発進からの加速時、追突されたような衝撃が発生した。首を痛めたため、医者の診断を受けた結果、頚椎捻挫で年始くらいまで要観察と診断された。ディーラーに問いあわせたところ、ＡＴバルブ、タービン回転センサーの不具合と診断されている。"
16,"2022年12月28日","秋田県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2010/08","DBA-GE6","フィット","44,100 Km","L13A","エンジン","中古車購入直後から","アクセルペダルを踏んでも車が動かなくなることがある。"
17,"2022年12月28日","宮城県","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2018/12","3DA-KG2P","ＣＸ－８","49,200 Km","SH","保安灯火","新品装着から１年","左右のテールレンズの内部に無数のひび割れが発生している。当該テールランプは新品から１年しか経過しておらず、同型車でも多発している。"
18,"2022年12月28日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","プジョー","2022/06","3DA-P87AH01","５００８","","AH01","エンジン","","交差点の右折待ち、信号待ち等でアイドリングストップした後、そのままエンストしてしまう。ディーラーに相談したところ、エラーログが無いということで様子見になっている。"
19,"2022年12月28日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","プジョー","2022/06","3DA-P87AH01","５００８","","AH01","電気装置","","アンビエントライトが駐車中、何もしていないのに点灯することがある。"
20,"2022年12月28日","愛媛県","ＨＰ","スバル","2018/03","DBA-BS9","レガシィアウトバック","30,400 Km","FB25","制動装置","２０２２年１１月","エンジン停止後、２４時間程度経過するとフットブレーキが硬くなり踏めなくなる。ディーラーでマスターバッグ一式の交換が必要と診断された。"
21,"2022年12月28日","埼玉県","ＨＰ","ホンダ","2013/11","DBA-JF1","Ｎ－ＢＯＸ　Ｃｕｓｔｏｍ","39,842 Km","S07A","エンジン","","朝の通勤時に、上り坂を登っていたら、エンジンが吹け上がらなくなって、エンジンチェックランプが点灯してエンストした。"
22,"2022年12月27日","東京都","ＨＰ","ジープ","2022/03","3BA-M624","コンパスリミテッド","","B","制動装置","２０２２年１２月","自動衝突回避ブレーキが誤作動し、走行中に急停止した。警告音とメッセージが表示された。"
23,"2022年12月27日","神奈川県","ＨＰ","ホンダ","2020/09","6BA-GB5","ＦＲＥＥＤ＋","19,980 Km","L15B","エンジン","今年の１０月頃から","その日の１回目のエンジン始動時にガーッと異音がする。"
24,"2022年12月27日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2017/12","DAA-NHP10","アクア","","1NZ-1LM","車枠・車体","今年の夏くらいから","フロントバンパーの角部の塗装がめくれてきた。"
25,"2022年12月27日","埼玉県","ＨＰ","マツダ","","DBA-DJ3FS","デミオ","8,900 Km","P3","乗車装置","２０２２年１２月２６日","左後部座席のシートベルトが中途半端な状態で、引っ張っる事も、収納する事も出来なくなった。"
26,"2022年12月27日","福島県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2020/02","6AA-GB7","ＦＲＥＥＤ","","LEB-H1","制動装置","","エンジン始動後、ブレーキペダルを踏んでもブレーキが効かず、車が止まらなくなった。整備工場で確認の結果、コンピューターの異常で、制動力倍力装置が機能してないと判った。"
27,"2022年12月27日","富山県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2022/07","6BA-LA900S","タフト","1,200 Km","KF","制動装置","新車購入当初から","ブレーキホールド作動中、ガッという異音が出る。"
28,"2022年12月27日","東京都","ＨＰ","ニッサン","2014/01","DBA-T32","エクストレイル","20,000 Km","MR20","動力伝達","２０２２年１２月１７日","高速道路を走行中にアイドリングストップシステム異常の警告が出て加速が出来なくなり、その約５～６分後にはＣＶＴ異常により走行ができなくなった。"
29,"2022年12月27日","愛知県","ＨＰ","ホンダ","2022/10","8BL-SD10","ＣＲＦ１１００Ｌ　Ａｆｒｉｃａ　Ｔｗｉｎ","980 Km","SD08E","エンジン","２０２２年１２月３日","バイパスを時速約８０ｋｍで走行中、右側スイッチボックスにあるファンクションスイッチを押した瞬間に失速、アクセルを回しても加速しないでそのまま惰性で停止した。"
30,"2022年12月27日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","フォルクスワーゲン","2008/08","ABA-3CBZB","パサートバリアント","130,000 Km","BZB","エンジン","１２月初め","エンジンがプシュっと音がして動かなくなった。"
31,"2022年12月27日","新潟県","ＨＰ","ニッサン","2015/10","DAA-HT32","エクストレイルハイブリッド","94,300 Km","MR20-RM31","動力伝達","２０２２年８月","数年前からベルトが鳴くような音がエンジンルームであった。クリープ現象が無くなり、アクセルペダルを踏むとガツンと振動と共に進むような現象が起きた。ディーラーの診断でＣＶＴの故障と判明した。"
32,"2022年12月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","いすゞ","2018/08","TPG-NJR85A","エルフ","156,400 Km","4JJ1","エンジン","２０２２年９月１３日～","走行中に前触れなくエンストし、１０～１５分間、再始動不能になる。ディーラーで診断を受けているが、原因が特定されていないまま車両が戻され、戻った直後に再発し、再入庫を繰り返している。"
33,"2022年12月26日","大阪府","ＨＰ","三菱","2022/05","5LA-GN0W","アウトランダーＰＨＥＶ","6,420 Km","4B12-S91-YA1","かじ取り","通年","走行時ステアリングを一定角以上切るとサリサリ・チリチリ音が鳴る。セルフステアでも鳴る。"
34,"2022年12月26日","和歌山県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2013/02","DBA-TB17","シルフィ","100,000 Km","MRA8","その他","２０２２年３月車両購入直後","燃料計が故障した。"
35,"2022年12月26日","愛知県","ＨＰ","ホンダ","2018/09","DAA-GB7","ＦＲＥＥＤ＋","13,600 Km","LEB-H1","その他","１２月１１日車検直後から","運転席側の暖房が効かない。"
36,"2022年12月26日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2019/05","HBD-DS17V","ミニキャブ","52,100 Km","R06A","動力伝達","ここ２週間くらい","５０ｋｍ／ｈ位で走行し、陸橋等の坂道を走行している際に動力の伝わりが悪い感じがし、１０秒くらいその状態でいるとトランスミッション警告灯が点灯する。この状態で信号等で停車をするとエンストする。"
37,"2022年12月26日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2018/06","DBA-JF3","Ｎ－ＢＯＸ","168,000 Km","S07B","エンジン","２０２２年１２月","エンジンオイルが４か月で０．７Ｌ減るようになった。"
38,"2022年12月26日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","アウディ","2015/06","DBA-8VCXSL","Ａ３","","CXS","動力伝達","２０２２年１２月","外２９１７の変速機のリコールについて、対象外とされている車両で、アッパーハウジングに亀裂が発生してオイルが漏れた。"
39,"2022年12月26日","岐阜県","ＨＰ","スズキ","2021/02","3BA-JB64W","ジムニー","8,559 Km","R06A","乗車装置","２０２２年１２月２５日","助手席のシートベルトのネジが取れた。"
40,"2022年12月26日","岡山県","ＨＰ","ニッサン","2017/06","DAA-GFC27","セレナ","40,000 Km","MR20-SM24","燃料装置","２０２２年１２月","走行中、エンジンチェックランプが点灯しエンジンがガタガタと振動した。故障コードＰ０３００複数シリンダミスファイヤが検出され、インジェクターの交換が必要と診断された。"
41,"2022年12月26日","愛知県","ＨＰ","アバルト","2018/12","CBA-NF2EK","Ａｂａｒｔｈ　１２４　Ｓｐｉｄｅｒ","30,000 Km","3268","車枠・車体","２０２２年１２月","帆の位置決め部品（メールウェッジ）が破損した。"
42,"2022年12月25日","栃木県","ＨＰ","ニッサン","2017/12","DAA-HV37","スカイライン","33,500 Km","VQ35-HM34","制動装置","２０２２年１２月中旬から","バック駐車中、周囲に障害物等が無いにも関わらずセンサーが誤反応して急ブレーキがかかった。"
43,"2022年12月25日","山梨県","ＨＰ","マツダ","2015/12","LDA-DK5AW","ＣＸ－３","55,000 Km","S5","乗車装置","２０１８年頃と２０２２年１２月","殆ど使うことのなかった後部座席シートベルトが、右側は巻き取らなくなり伸び切ってしまい、左側はロックして全然伸びなくなってしまった。"
44,"2022年12月25日","富山県","ＨＰ","ボルボ","2016/05","CBA-FB525XC","ボルボ　Ｖ６０クロスカントリー","22,000 Km","B525","乗車装置","２０２２年１２月２４日","エアバックコンピュータ故障により、コンピュータの警告メッセージが出た。"
45,"2022年12月25日","東京都","ＨＰ","ニッサン","2013/07","DAA-HFC26","セレナ","51,071 Km","MR20-SM23","動力伝達","２０２２年１２月１日","ＣＶＴ内部不具合によりＣＶＴ動力の動力が伝わらなくなり、走行不能に至った。"
