番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
1,"2024年06月30日","福井県","ＨＰ","ヤマハ","2023/08","8BK-SG81J","ＴＲＩＣＩＴＹ１５５","4,870 Km","G3T3E","走行装置","２０２３年１１月","フロント２輪のタイヤの摩耗が早く、４０００ｋｍを超える辺りでスリップサインが出た。"
2,"2024年06月30日","千葉県","ＨＰ","メルセデス・ベンツ","2018/02","LDA-447811","Ｖ２２０ｄ","29,780 Km","651","排ｶﾞｽ･騒音","２０２０年８月、２０２２年１０月、２０２","ＮＯｘ（ラムダ）センサに煤が溜まり続け、走行の仕方によってはエンジン警告灯が点灯する。部品交換をしても繰り返される。"
3,"2024年06月30日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","","TZ155XTY2201","乗車装置","２０２４年６月２９日","助手席ドアと助手席側荷室スライドドア付近より、ギシギシという軋み音がする。"
4,"2024年06月30日","埼玉県","ＨＰ","柳州五菱","2023/12","不明","ＡＳＦ２．０","15,000 Km","TZ155XTY2201","乗車装置","２０２４年６月２９日","運転席側荷室スライドドアを通常閉めるように、一定の力で閉めても半ドアになってしまう。ドア自体を外から押し付けるように閉めないと戸閉検知スイッチが動作しない。"
5,"2024年06月29日","栃木県","ＨＰ","マツダ","2016/07","LDA-BMLFS","アクセラ","93,600 Km","S5","その他","２０２４年６月２０日","液晶式のスピードメーターの表示が乱れ、デジタル表示が全点灯となりスピード表示が８８８のように固着したり、もしくは正しい数字を示さない。"
6,"2024年06月29日","静岡県","ＨＰ","ニッサン","2023/03","6AA-FE13","ノート","","HR12-EM47","保安灯火","２０２４年６月下旬頃","バックギヤに入れたらバックモニターが突然紫色になった。"
7,"2024年06月29日","石川県","ＨＰ","スバル","2015/06","DBA-VMG","レヴォーグ","53,000 Km","FA20","排ｶﾞｽ･騒音","２０２４年５月","警報音とともにエンジン不具合の警告表示、アイサイト他の安全装置の不作動表示、「エンジンシステム点検」「販売店に連絡」表示が出た。ディーラーで確認したところ、排気管のＯ２センサーに不具合が生じており、Ｏ２センサーの交換が必要と診断された。"
8,"2024年06月29日","石川県","ＨＰ","スバル","2015/06","DBA-VMG","レヴォーグ","55,000 Km","FA20","エンジン","２０２４年６月","車検でエンジンオイル漏れを指摘された。"
9,"2024年06月29日","鳥取県","ＨＰ","マツダ","2015/03","DAA-MJ44S","フレア","99,800 Km","R06A-WA04A","エンジン","２０２４年５月","高速道路の上り坂を走行中、エンジンが３千回転から７千回転を行ったり来たりハンチングして、スピードが出なくなった。また、ミッション異常のランプが点灯した。"
10,"2024年06月29日","福島県","ＨＰ","ヤマハ","2023/09","8BK-SG81J","ＴＲＩＣＩＴＹ１５５","","G3T3E","走行装置","新車登録から２０００ｋｍ程度走行時点","右前タイヤが摩耗によりスリップサインが出現。左前タイヤはスリップサインまで残り１ｍｍ程まで摩耗した。販売店で確認したところ、前タイヤのトー角がマイナス２０ｍｍとなっており、マイナス７ｍｍへの調整が限界であると説明された。"
11,"2024年06月29日","広島県","ＨＰ","ヤマハ","2023/12","8BK-SG81J","ＴＲＩＣＩＴＹ１５５","2,400 Km","G3T3E","走行装置","２０２４年４月２３日","フロントタイヤ、右前輪外側にスリップサインが出た。販売店でフロントタイヤのトー角調整及び、右前輪の交換を行った。"
