番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
1,"2023年04月30日","秋田県","ＨＰ","ニッサン","2015/01","ZAA-AZE0","リーフ","144,000 Km","EM57","制動装置","２０２３年４月２７日１７時２５分頃","エンジンをかけるため通常通り電源ボタンを押下し、ゆっくりアクセルペダルを踏んだ際にスピードメーター等のディスプレイに複数の警告が表示されたので停止しようとブレーキペダルを踏んだものの、ブレーキが抜け落ちたような感触で作動せず、危険な状態に陥り止む無く駐車場敷地内から低速で主要道に出て、隣接するドラッグストアの駐車場に入りパーキングボタンやドライブ、バックのシフト操作を繰り返すことによりやっと停止できた。"
2,"2023年04月30日","静岡県","ＨＰ","スバル","2016/03","DBA-VM4","レヴォーグ","69,000 Km","FB16","車枠・車体","２０２３年４月","車を使用中に突然「エンジンシステム点検」「電動パーキングブレーキ点検」「直ちに停車して販売店に連絡して下さい」のメッセージが表示された。ディーラーで検査したところ、Ｐ１１３Ａ（Ｏ２センサー不具合）の故障コードが確認され、そこに接続するエンジンハーネスショートの疑いが強く、まとめて交換が必要との説明があった。"
3,"2023年04月30日","大阪府","ＨＰ","ニッサン","2014/09","DBA-B21A","デイズルークス","27,000 Km","3B20","電気装置","２０２２年１１月ごろ","４方向カメラの運転席側の映像が青くなる症状があり、点検したところ、ボディーとドアとの間にあるゴム製のジャバラ内で映像線が断線していると判明した。"
4,"2023年04月30日","東京都","ＨＰ","フォルクスワーゲン","2011/02","ABA-6RCAV","ＶＷ　ポロＧＴＩ　１．４／１３２ＫＷ","77,770 Km","CAV","燃料装置","２０２３年２月","一般道路を走行中にＥＰＣランプが点滅し、すぐに点灯に変わった。アクセルペダルを踏んでも力がない感じで、取り急ぎ、駐車できる場所へ逃げ込んだ。整備工場で診断したところ、２番のピストンリングが破損し、ピストン内壁に傷があることが確認された。"
5,"2023年04月29日","青森県","24時間電話","ホンダ","2011/09","EBL-RC56","シャドウ","295,000 Km","RC50E","エンジン","２０２３年４月２４日１５：４０頃","交差点でエンジンが急にストップした。"
6,"2023年04月29日","岐阜県","ＨＰ","メルセデス・ベンツ","2017/09","LDA-253305C","ＧＬＣ２２０ｄ　４ＭＡＴＩＣ　クーペ","39,000 Km","651","車枠・車体","２０２０年６月","インパネのワーニングランプが多数点灯して、最終的にエンジンがかからなくなった。ディーラーで確認した結果、サンルーフからの雨漏りにより、運転席下部のコンピュータが水没して壊れていると診断された。"
7,"2023年04月29日","長野県","ＨＰ","スズキ","2016/09","DAA-MR41S","ハスラー","50,135 Km","R06A-WA04A","緩衝装置","２０２３年４月１９日","車両を発進した直後、ハンドルを切ると振動とともにゴゴゴと異音発生し、路上の段差でも同様の異音が発生した。ハンドルを切るたびに（特に右に切ると）振動と異音が発生するため、走行を中止し、ディーラーに連絡の上、徐行して販売店へ車両を持ち込んだ。確認の結果、前輪コイルスプリングが折れたものと診断された。"
8,"2023年04月29日","埼玉県","ＨＰ","ホンダ","2019/12","6AA-GB7","ＦＲＥＥＤ＋","33,992 Km","LEB-H1","制動装置","２０２３年４月","ゆっくりとお店の駐車場に進入して止まろうとしたが、ブレーキが全く効かず、お店の車に追突しても止まらず、さらに進んで駐車場の壁に衝突して、止まった。自動ブレーキは装備されているが、まったく作動しなかった。"
9,"2023年04月28日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2023/03","3DF-VN2E26","キャラバン","500 Km","4N16","エンジン","２０２３年４月２４日","信号待ちでＮレンジの状態でアクセルペダルを踏んでいないのにエンジン回転数が上昇した。ブレーキペダルを踏みギアをＤに入れたところ、ドンと衝撃が発生した。"
10,"2023年04月28日","兵庫県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2022/01","5AA-MR92S","ハスラー","","R06D-WA04C","制動装置","２０２３年４月","ブレーキの効きが悪く感じたため、点検を受けたところ、ブレーキパッドが６ｍｍ減っていると共に焼けていると診断された。"
11,"2023年04月28日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2020/06","3DA-118612M","ＣＬＡ２００ｄ　ＳＢ","","654","エンジン","これまでに３回","幹線道路を６０ｋｍ／ｈにて走行中、突然車体が上下に揺れてエンジン出力が落ちた。路肩に停車をして様子を見たが、外観上は異常が無く、１０分後に再始動をしたところ正常に動いたが、同じ事象が合計３回発生した。"
